Key,en,pl
OS_MAP_P109_DESC,"For over 150 years, Politecnico di Torino has been one of the most prestigious technical universities at national and international level. The EDA-group, being part of the HBP neuromorphic engineering team, is involved in the design of optimized algorithms for exploiting the innovative many-core architecture of the SpiNNaker neuromorphic platform.","Od ponad 150 lat Politecnico di Torino jest jedną z najbardziej prestiżowych uczelni technicznych w kraju i za granicą. Grupa EDA, będąca częścią zespołu inżynierii neuromorficznej, zaangażowana jest w projektowanie zoptymalizowanych algorytmów na potrzeby eksploatacji innowacyjnej wielordzeniowej architektury platformy neuromorficznej SpiNNaker."
OS_MAP_P110_NAME,University of Ghent,Uniwersytet Gandawski
OS_MAP_P110_CITY,"Ghent, Belgium","Gandawa, Belgia"
OS_MAP_P111_NAME,The Catholic University of Leuven,Katolicki Uniwersytet Lowański
OS_MAP_P111_CITY,"Leuven, Belgium","Leuven, Belgia"
OS_MAP_P112_NAME,University of Basel,Uniwersytet Bazylejski
OS_MAP_P112_CITY,"Basel, Switzerland","Bazylea, Szwajcaria"
OS_MAP_P113_NAME,VU University Medical Center,Centrum Medyczne Wolnego Uniwersytetu w Amsterdamie
OS_MAP_P113_CITY,"Amsterdam, The Netherlands","Amsterdam, Holandia"
OS_MAP_P114_NAME,Swiss Institute of Bioinformatics ISB Foundation,Szwajcarski Instytut Bioinformatyki
OS_MAP_P114_CITY,"Lausanne, Switzerland","Lozanna, Szwajcaria"
OS_MAP_P115_NAME,"European Brain Research Institute
Rita Levi-Montalcini Foundation",Europejski Instytut Badań nad Mózgiem Fundacji Rity Levi-Montalcini
OS_MAP_P115_CITY,"Rome, Italy","Rzym, Włochy"
OS_MAP_P116_NAME,Scuola Normale Superiore,Scuola Normale Superiore
OS_MAP_P116_CITY,"Pisa, Italy","Piza, Włochy"
OS_MAP_P117_NAME,University of Maastricht,Uniwersytet w Maastricht
OS_MAP_P117_CITY,"Maastricht, The Netherlands","Maastricht, Holandia"
OS_MAP_P118_NAME,University of Hertfordshire,Uniwersytet Hertfordshire
OS_MAP_P118_CITY,"Hatfield, United Kingdom","Hatfield, Wielka Brytania"
OS_MAP_P119_NAME,University Hospital Bonn,Szpital Uniwersytecki w Bonn
OS_MAP_P119_CITY,"Bonn, Germany","Bonn, Niemcy"
OS_MAP_P120_NAME,"Biomedical Research Foundation, Academy of Athens","Fundacja Badań Biomedycznych, Akademia Ateńska"
OS_MAP_P120_CITY,"Athens, Greece","Ateny, Grecja"
OS_MAP_P121_NAME,Convelop Cooperative Knowledge Design GmbH,Convelop Cooperative Knowledge Design GmbH
OS_MAP_P121_CITY,"Graz, Austria","Graz, Austria"
OS_MAP_P122_NAME,Charité - University Medicine Berlin,Charité – Szpital Uniwersytecki w Berlinie
OS_MAP_P122_CITY,"Berlin, Germany","Berlin, Niemcy"
OS_MAP_P122_DESC,"Charité Universit?ֳ₪tsmedizin Berlin is Europe´s largest University Hospital. More than half of the German Nobel laureates for medicine and physiology originate from it. Charité's Brain Simulation
Section heads HBP's project TheVirtualBrain (TVB). TVB is a simulation platform for simulating patient brains to test virtual therapies. TVB has several thousand users.",Charité – Szpital Uniwersytecki w Berlinie jest największym europejskim szpitalem uniwersyteckim. Wywodzi się z niego więcej niż połowa niemieckich noblistów z dziedziny medycyny i fizjologii. Oddział Symulacji Mózgu szpitala Charité jest liderem projektu TheVirtualBrain (TVB). TVB jest platformą służącą symulowaniu mózgów pacjentów na potrzeby testowania wirtualnych terapii. TVB ma kilka tysięcy użytkowników.
OS_MAP_P123_NAME,European Molecular Biology Laboratory (EMBL),Europejskie Laboratorium Biologii Molekularnej (EMBL)
OS_MAP_P123_CITY,"Heidelberg, Germany","Heidelberg, Niemcy"
OS_MAP_P123_DESC,"At EMBL in Heidelberg, the group of Anna Kreshuk specializes in developing machine learning algorithms and tools for automatic segmentation, classification and analysis of biological images. Within the Human Brain Project, her team develops special workflows for the ilastik image processing
toolkit with the goal of neuroimaging analysis at scale.","Grupa Anny Kreshuk z EMBL w Heidelbergu specjalizuje się w opracowywaniu algorytmów uczenia maszynowego oraz narzędzi do automatycznej segmentacji, klasyfikacji i analizy obrazów biologicznych. W ramach Human Brain Project jej zespół rozwija specyficzne przepływy pracy dla zestawu narzędziowego ilastik do obróbki obrazu w celu wykonywania wielkoskalowych analiz neurobrazowania."
OS_MAP_P124_NAME,Medical University Greifswald,Uniwersytet Medyczny w Greifswald
OS_MAP_P124_CITY,"Greifswald, Germany","Greifswald, Niemcy"
OS_MAP_P125_NAME,Swiss Integrative Center for Human Health,Swiss Integrative Center for Human Health
OS_MAP_P125_CITY,"Fribourg, Switzerland","Fryburg, Szwajcaria"
OS_MAP_P126_NAME,University Grenoble Alpes,Uniwersytet Grenoble Alpes
OS_MAP_P126_CITY,"Grenoble, France","Grenoble, Francja"
OS_MAP_P127_NAME,University Hospital Freiburg,Szpital Uniwersytecki we Fryburgu
OS_MAP_P127_CITY,"Freiburg, Germany","Fryburg, Niemcy"
OS_MAP_P128_NAME,"""Claudio Munari"" Center for Epilepsy Surgery",Centrum Chirurgicznego Leczenia Epilepsji „Claudio Munari”
OS_MAP_P128_CITY,"Milan, Italy","Mediolan, Włochy"
OS_MAP_P129_NAME,University Hospital Grenoble Alpes,Szpital Uniwersytecki Grenoble Alpes
OS_MAP_P129_CITY,"Grenoble, France","Grenoble, Francja"
OS_MAP_COUNTRY_SPAIN_NAME,Spain,Hiszpania
OS_MAP_COUNTRY_FRANCE_NAME,France,Francja
OS_MAP_COUNTRY_NORWAY_NAME,Norway,Norwegia
OS_MAP_COUNTRY_TURKEY_NAME,Turkey,Turcja
OS_MAP_COUNTRY_PORTUGAL_NAME,Portugal,Portugalia
OS_MAP_COUNTRY_BELGIUM_NAME,Belgium,Belgia
OS_MAP_COUNTRY_DENMARK_NAME,Denmark,Dania
OS_MAP_COUNTRY_HUNGARY_NAME,Hungary,Węgry
OS_MAP_COUNTRY_AUSTRIA_NAME,Austria,Austria
OS_MAP_COUNTRY_SWITZERLAND_NAME,Switzerland,Szwajcaria
OS_MAP_COUNTRY_SLOVENIA_NAME,Slovenia,Słowenia
OS_MAP_COUNTRY_SWEDEN_NAME,Sweden,Szwecja
OS_MAP_COUNTRY_ITALY_NAME,Italy,Włochy
OS_MAP_COUNTRY_NETHERLANDS_NAME,Netherlands,Holandia
OS_MAP_COUNTRY_FINLAND_NAME,Finalnd,Finlandia
OS_MAP_COUNTRY_GREECE_NAME,Greece,Grecja
OS_MAP_COUNTRY_GERMANY_NAME,Germany,Niemcy
OS_MAP_COUNTRY_ISRAEL_NAME,Israel,Izrael
OS_MAP_COUNTRY_UK_NAME,United Kingdom,Wielka Brytania
